Country,Capital,Longitude,Lattitude,Language,Official
Malawi,Lilongwe,33.79,-13.97,English,TRUE
Malaysia,Kuala-Lumpur,101.69,3.14,English,TRUE
Malaysia,Kuala-Lumpur,101.69,3.14,Malay,TRUE
Maldives,Male,73.51,4.17,Dhivehi,TRUE
Mali,Bamako,-8,12.65,French,TRUE
Malta,Valletta,14.51,35.9,English,TRUE
Malta,Valletta,14.51,35.9,Maltese,TRUE
Marshall-Islands,Majuro,171.38,7.9,English,TRUE
Marshall-Islands,Majuro,171.38,7.9,Marshallese,TRUE
Martinique,Fort-de-France,-61.7,14.61,French,TRUE
Mauritania,Nouakchott,-15.98,18.9,Arabic,TRUE
Mauritius,Port-Louis,57.5,-20.16,English,TRUE
Mauritius,Port-Louis,57.5,-20.16,French,TRUE
Mayotte,Mamoutzou,45.23,-12.78,French,TRUE
Mexico,Mexico-City,-99.13,19.43,Spanish,FALSE
Micronesia,Palikir,158.16,6.92,English,TRUE
Moldova,Chisinau,28.86,47.1,Romanian,TRUE
Monaco,Monaco,7.42,43.73,French,TRUE
Mongolia,Ulan-Bator,106.88,47.91,Mongolian,TRUE
Montenegro,Podgorica,19.26,42.44,Montenegrin,TRUE
Montserrat,Plymouth,-62.21,16.71,English,TRUE
Morocco,Rabat,-6.83,34.1,Arabic,TRUE
Morocco,Rabat,-6.83,34.1,Berber,TRUE
Mozambique,Maputo,32.58,-25.97,Portuguese,TRUE
Myanmar,Nay-Pyi-Taw,96.13,19.75,Burmese,TRUE
Namibia,Windhoek,17.8,-22.56,English,TRUE
Nauru,Yaren,166.93,0.54,Nauruan,TRUE
Nepal,Kathmandu,85.32,27.7,Nepali,TRUE
Netherlands,Amsterdam,4.89,52.37,Dutch,TRUE
Netherlands-Antilles,Willemstad,12.1,-68.92,English,TRUE
Netherlands-Antilles,Willemstad,12.1,-68.92,Dutch,TRUE
Netherlands-Antilles,Willemstad,12.1,-68.92,Papiamento,TRUE
New-Caledonia,Noumea,166.46,-22.28,French,TRUE
New-Zealand,Wellington,174.78,-41.29,English,TRUE
Nicaragua,Managua,-86.25,12.13,Spanish,TRUE
Niger,Niamey,2.11,13.51,French,TRUE
Nigeria,Abuja,7.48,9.7,English,TRUE
Niue,Alofi,-169.92,-19.6,English,TRUE
Niue,Alofi,-169.92,-19.6,Niuean,TRUE
Norfolk-Island,Kingston,167.97,-29.5,English,TRUE
Norfolk-Island,Kingston,167.97,-29.5,Norfuk,TRUE
North-Korea,Pyongyang,125.75,39.3,Korean,TRUE
Northern-Mariana-Islands,Saipan,145.75,15.21,Refaluwasch,TRUE
